date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2016-02-17,3234725.8286,19901.0,330635000.0,4.29,15451000.0,25672.03125,41.0193936772,
2016-02-18,4248506.44875,16895.0,291068000.0,3.77,17054000.0,26214.84375,29.2699233549,
2016-02-19,2164082.76871,17788.0,338222000.0,4.38,7666320.0,26655.46875,37.0360032943,
2016-02-20,5578710.35002,16664.0,361281000.0,4.68,8631090.0,26560.78125,26.7916448964,
2016-02-21,2079867.79463,16981.0,336572000.0,4.36,6413550.0,26536.5625,28.140680308,
2016-02-22,3748825.58399,18096.0,360185000.0,4.66,15056200.0,26757.8125,32.5491110595,
2016-02-23,8805613.80032,18357.0,439084000.0,5.68,13380600.0,26170.0,94.1643662476,
2016-02-24,11730399.6364,19476.0,432977000.0,5.6,11426500.0,26426.875,52.032071341,
2016-02-25,5711754.03552,19412.0,478149000.0,6.19,21471800.0,26823.75,31.6128430903,
2016-02-26,24230968.1634,20374.0,466797000.0,6.04,9526860.0,26654.0625,50.8616404256,
2016-02-27,12949284.3196,18903.0,461169000.0,5.96,8903210.0,26196.09375,28.3747446946,
2016-02-28,4995519.5113,18954.0,495545000.0,6.41,9851660.0,26425.78125,29.3587208003,
2016-02-29,4596368.73002,20146.0,499587000.0,6.46,7648020.0,25229.53125,32.9441902138,
2016-03-01,8239273.94953,21664.0,489188000.0,6.32,23098100.0,26481.09375,33.9508403306,
2016-03-02,27459006.4253,23485.0,591078000.0,7.63,29130200.0,26644.21875,39.0787626379,
2016-03-03,17711687.5864,24751.0,653959000.0,8.44,40314900.0,26111.25,35.3327310901,
2016-03-04,13963343.4884,24159.0,716027000.0,9.24,35520100.0,25881.5625,33.9631795907,
2016-03-05,29697496.0815,26956.0,803827000.0,10.37,56439600.0,26585.9375,33.8981528103,
2016-03-06,18066961.2525,27548.0,868736000.0,11.2,39112000.0,25399.6875,37.6921226264,
2016-03-07,16904671.1944,23178.0,886447000.0,11.43,34085100.0,25985.46875,30.3772576273,
2016-03-08,20568777.7031,23950.0,743456000.0,9.58,25524300.0,25823.125,33.3474639412,
2016-03-09,11011841.9681,24374.0,760017000.0,9.79,27540500.0,25740.78125,26.064171433,
2016-03-10,10185027.7102,24727.0,922452000.0,11.88,26851500.0,26630.0,20.3466620474,
2016-03-11,10552682.559,23042.0,871511000.0,11.22,21002700.0,26302.5,19.2479047956,
2016-03-12,16998327.6604,27799.0,864733000.0,11.13,48957300.0,26370.15625,24.2939252773,
2016-03-13,26786524.9344,28014.0,1049930000.0,13.51,43915100.0,27250.46875,25.6417147769,
2016-03-14,23688567.8523,28359.0,1128180000.0,14.51,58385100.0,26407.96875,27.7887085331,
2016-03-15,16846968.2157,29149.0,1011090000.0,13.0,28404500.0,31223.59375,24.0129653977,
2016-03-16,14514876.8702,27458.0,1013020000.0,13.02,24335500.0,31490.15625,23.8727859454,
2016-03-17,21905195.8074,33445.0,977389000.0,12.56,41650600.0,32024.53125,31.6680980213,
2016-03-18,26172947.5544,31727.0,867949000.0,11.11,53956800.0,31282.8125,27.4326886832,
2016-03-19,8872183.79219,34712.0,875689000.0,11.2,26735700.0,32079.0625,44.2853796416,
2016-03-20,5845868.77726,32304.0,822297000.0,10.52,17651100.0,31587.65625,35.7288538516,
2016-03-21,9182491.74127,32327.0,805997000.0,10.3,28572600.0,31394.21875,32.4623890738,
2016-03-22,8144005.30953,32812.0,929610000.0,11.88,19730300.0,31711.875,26.1394891028,
2016-03-23,6495245.54193,31562.0,887595000.0,11.33,19353200.0,31294.0625,32.6582983315,
2016-03-24,11870464.1369,36705.0,975295000.0,12.44,26081800.0,32071.09375,41.4097826339,
2016-03-25,6241282.38728,36665.0,883012000.0,11.26,13782000.0,31889.84375,40.3548918251,
2016-03-26,3591618.47451,36537.0,844742000.0,10.77,9425480.0,31928.4375,35.0564205112,
2016-03-27,12895208.4681,29895.0,862211000.0,10.99,16744800.0,31630.78125,19.2099077568,
2016-03-28,8274565.85335,33508.0,819007000.0,10.43,23188300.0,31313.4375,26.3821260856,
2016-03-29,15192583.0352,33803.0,923114000.0,11.75,17684200.0,31437.8125,23.9127898866,
2016-03-30,15858748.7919,36649.0,911902000.0,11.61,19351200.0,31700.46875,37.3774814231,
2016-03-31,10705688.8893,31397.0,936992000.0,11.92,14966700.0,31388.90625,25.0216632981,
2016-04-01,4362306.53853,33194.0,896537000.0,11.4,11373100.0,31884.6875,24.2374098938,
2016-04-02,4374118.65075,29155.0,914995000.0,11.63,8682620.0,31081.25,18.065663951,
2016-04-03,2538095.15394,29479.0,915175000.0,11.63,5580550.0,31729.6875,17.9368728686,
2016-04-04,5104529.65468,34797.0,914560000.0,11.62,9599070.0,31953.125,24.8694159203,
2016-04-05,7698526.70917,39041.0,883170000.0,11.21,20557300.0,31574.84375,28.6069272826,
2016-04-06,6153894.35731,31977.0,823420000.0,10.45,16997100.0,31262.65625,21.6791327625,
2016-04-07,7746868.60984,31756.0,843091000.0,10.7,13464500.0,31167.34375,21.4127194869,
2016-04-08,5543466.18236,33911.0,794705000.0,10.08,14660600.0,31914.375,25.167538266,
2016-04-09,12665352.9724,31859.0,764797000.0,9.69,16194800.0,30913.59375,19.9980599971,
2016-04-10,10802857.8276,32161.0,722133000.0,9.15,42613400.0,31774.21875,19.4470129477,
2016-04-11,5574518.6422,30227.0,706074000.0,8.94,15138100.0,30970.9375,18.6565029086,
2016-04-12,9421411.048,34592.0,682395000.0,8.64,23190100.0,31385.9375,22.906012148,
2016-04-13,8466729.51491,35988.0,587994000.0,7.44,31403300.0,31486.09375,32.96712421,
2016-04-14,7626684.27683,34716.0,638330000.0,8.08,13590700.0,31401.09375,31.7285716006,
2016-04-15,4965797.17728,34895.0,663169000.0,8.39,12179000.0,31733.4375,23.3788742306,
2016-04-16,3571858.659,30432.0,651554000.0,8.24,9888460.0,31531.25,17.2244827782,
2016-04-17,7109867.77473,40159.0,682467000.0,8.62,24619600.0,31499.375,30.2081937039,
2016-04-18,5957899.07769,33457.0,738916000.0,9.33,21084100.0,31863.28125,20.0991878237,
2016-04-19,3710246.06542,32577.0,718825000.0,9.08,12899100.0,31326.5625,19.10494585,
2016-04-20,5863270.96923,32843.0,688434000.0,8.69,15634700.0,31831.40625,23.8484106082,
2016-04-21,3999733.5658,36181.0,670104000.0,8.45,13355400.0,31373.90625,30.3808260505,
2016-04-22,6147374.37562,31586.0,646298000.0,8.15,13309300.0,31576.71875,20.5760795602,
2016-04-23,7899555.59552,31763.0,618147000.0,7.79,14565200.0,31693.59375,19.5139447522,
2016-04-24,3111077.22359,33970.0,658203000.0,8.29,10786400.0,31493.75,22.4860145178,
2016-04-25,5709828.10013,35325.0,635784000.0,8.01,18239900.0,32138.28125,23.8621661786,
2016-04-26,8761555.11393,32495.0,597819000.0,7.53,17667300.0,31287.8125,21.6593834799,
2016-04-27,5777260.5315,33772.0,587076000.0,7.39,19254500.0,31875.0,20.450152725,
2016-04-28,6025711.86581,34251.0,615316000.0,7.74,11576000.0,31682.5,22.6386238477,
2016-04-29,4384710.09234,37277.0,573124000.0,7.21,8762080.0,31683.59375,23.4352529152,
2016-04-30,20174849.6865,45676.0,592992000.0,7.45,36573300.0,31891.71875,32.1524560635,
2016-05-01,15499781.2619,38442.0,698377000.0,8.78,16713800.0,31009.0625,36.7006692374,
2016-05-02,17058092.7763,41654.0,708137000.0,8.89,41019200.0,31912.1875,27.4278673978,
2016-05-03,14343392.0519,37701.0,809644000.0,10.17,21463900.0,31794.375,26.8409902307,
2016-05-04,10316379.0596,37333.0,747638000.0,9.38,17622400.0,31458.75,27.3227470289,
2016-05-05,10384630.3723,38564.0,749038000.0,9.4,18296200.0,31776.25,31.1348114447,
2016-05-06,20087422.854,41105.0,782261000.0,9.81,21510600.0,31741.40625,35.1748890596,
2016-05-07,14177187.1197,35795.0,743166000.0,9.32,10806500.0,31573.125,24.2278234342,
2016-05-08,13341710.9914,39960.0,748030000.0,9.37,15031000.0,31849.21875,28.9009012759,
2016-05-09,19259678.7496,38421.0,758000000.0,9.49,13085300.0,31801.40625,26.3419338861,
2016-05-10,19192356.1174,40566.0,741417000.0,9.28,9321790.0,31700.9375,27.7014495532,
2016-05-11,28794883.3564,40649.0,753600000.0,9.43,15267500.0,31253.125,31.6268258168,
2016-05-12,32664390.0591,44830.0,798952000.0,10.0,24137700.0,32257.03125,39.262539722,
2016-05-13,81784685.8907,47587.0,804647000.0,10.06,31276900.0,32196.71875,43.1900099362,
2016-05-14,62166782.1778,45649.0,840395000.0,10.51,18808000.0,31667.8125,35.4513350692,
2016-05-15,15320022.3124,42986.0,819399000.0,10.24,9218400.0,31805.46875,31.3052073619,
2016-05-16,14878197.234,37150.0,798116000.0,9.97,29079900.0,31514.6875,27.5984398169,
2016-05-17,14809048.7035,40019.0,896505000.0,11.19,37198700.0,32192.1875,28.4667373773,
2016-05-18,22172358.9387,45760.0,975878000.0,12.18,65389900.0,32404.375,35.0700451096,
