date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2013-10-12,468907.698144,2478.0,45513300.0,2.07,0.0,27150.0,24.98307749,
2013-10-13,993731.20099,2686.0,46766600.0,2.12,0.0,30100.0,24.22220422,
2013-10-14,780661.871547,2966.0,47411600.0,2.15,0.0,29000.0,33.99832439,
2013-10-15,581901.233288,2990.0,45406100.0,2.06,0.0,31800.0,44.57307344,
2013-10-16,813283.126211,3434.0,43632900.0,1.97,0.0,30250.0,67.64574232,
2013-10-17,584040.856797,2378.0,42467400.0,1.92,0.0,26700.0,45.86590204,
2013-10-18,535884.306149,2770.0,42499100.0,1.92,0.0,29450.0,47.106655,
2013-10-19,1147819.52299,2907.0,42318300.0,1.91,0.0,31350.0,79.61788589,
2013-10-20,507694.169241,2728.0,41580100.0,1.87,0.0,28550.0,44.83607169,
2013-10-21,1002865.47925,2749.0,43015300.0,1.93,0.0,27050.0,60.76251496,
2013-10-22,1553856.66311,3166.0,40604700.0,1.82,0.0,27200.0,83.87421777,
2013-10-23,1013005.40764,2779.0,37943700.0,1.7,0.0,26800.0,45.1183446,
2013-10-24,3044772.23916,3298.0,45984300.0,2.06,0.0,28450.0,45.20989317,
2013-10-25,2107169.233,3880.0,51325700.0,2.29,0.0,33950.0,44.10183224,
2013-10-26,685424.655958,2721.0,48443500.0,2.16,0.0,29950.0,31.18180358,
2013-10-27,654162.113856,2811.0,49469600.0,2.2,0.0,35650.0,26.71738699,
2013-10-28,990072.961343,2687.0,47813500.0,2.13,0.0,29450.0,32.9648547299,
2013-10-29,695686.179732,2515.0,48894400.0,2.17,0.0,28250.0,29.42373334,
2013-10-30,1422874.16939,2598.0,47999300.0,2.13,0.0,25600.0,35.16104638,
2013-10-31,876912.44502,2919.0,51405800.0,2.28,0.0,25250.0,31.19589545,
2013-11-01,1029898.37269,3935.0,52967400.0,2.34,0.0,28000.0,44.5835575,
2013-11-02,729503.198713,3294.0,55624300.0,2.46,0.0,26900.0,39.20061917,
2013-11-03,2899379.68568,5312.0,61520100.0,2.72,0.0,28900.0,83.26556785,
2013-11-04,2663838.16903,5978.0,65752700.0,2.9,0.0,31450.0,79.68429224,
2013-11-05,2539652.80708,4737.0,69993500.0,3.08,0.0,29800.0,64.10434708,
2013-11-06,2698835.95082,4592.0,69168900.0,3.04,0.0,29300.0,54.63821178,
2013-11-07,6370038.83312,7077.0,76482000.0,3.36,0.0,30150.0,165.80659541,
2013-11-08,5438073.23924,6594.0,99797700.0,4.38,0.0,31100.0,148.24492564,
2013-11-09,4431913.79476,7354.0,105183000.0,4.61,0.0,34050.0,99.94646535,
2013-11-10,3562743.38042,5092.0,99112700.0,4.34,0.0,32350.0,62.02837807,
2013-11-11,2462609.81986,4471.0,89534800.0,3.91,0.0,29450.0,74.43925157,
2013-11-12,2187808.48888,4357.0,91997300.0,4.01,0.0,28150.0,101.10156979,
2013-11-13,2877447.97562,4891.0,92196100.0,4.02,0.0,27950.0,145.65625895,
2013-11-14,5134930.42874,5411.0,94403200.0,4.11,0.0,28750.0,137.10847527,
2013-11-15,457285249.708,6679.0,98318100.0,4.27,0.0,30000.0,111.188046219,
2013-11-16,499582944.906,5925.0,96603200.0,4.19,0.0,31100.0,88.1456757593,
2013-11-17,418538324.965,6821.0,99881500.0,4.33,0.0,31000.0,110.18855186,
2013-11-18,304815895.754,10864.0,95311600.0,4.13,0.0,29550.0,163.589979861,
2013-11-19,645223057.129,11173.0,217921000.0,9.42,0.0,32900.0,191.340913221,
